date,experiment,model,pcc_v,pcc_a,rmse_va
2025-10-24,v1.0,bert-multi,0.581,0.435,2.216
2025-11-04,v1.1,bert-multi,0.809,0.640,1.381
2025-11-09,v1.2,bert-multi,0.8119,0.6567,1.5626
2025-11-09,v1.3,roberta-base,0.8873,0.7059,1.5504
2025-11-11,v1.4,roberta-base,0.9146,0.7495,1.2504
2025-11-15,optuna-trial-10,roberta-base,0.8895,0.7360,1.4039
2025-11-16,optuna-trial-17,roberta-base,0.9223,0.7609,1.2098
2025-11-17,optuna-trial-13,roberta-base,0.9164,0.7626,1.1832
2025-11-18,v2.0,roberta-base,0.8980,0.7345,1.2832
2025-11-18,v2.1,roberta-base,0.9059,0.7523,1.2526
2025-11-19,v2.2,roberta-base,0.9148,0.7470,1.1973
2025-11-19,v2.3,roberta-base,0.9099,0.7629,1.2244
2025-11-19,v2.4,roberta-base,0.8955,0.7077,1.3889
2025-11-24,v2.5,roberta-base,0.9185,0.5511,1.0406
2025-12-08,v2.6,roberta-base,0.8955,0.7077,1.3889
2025-12-09,v2.7,roberta-base,0.9142,0.7439,1.2981
2025-12-12,v2.8,roberta-base,0.9211,0.7623,1.1657
2025-12-16,v2.9,roberta-base,0.9082,0.7411,0.7316
2025-12-23,v1.4,roberta-base,0.9457,0.7851,0.6250
2026-01-08,v1.4,roberta-base,0.9457,0.7851,0.6250
2026-01-10,v1.4,roberta-base,0.9457,0.7851,0.6250
2026-01-10,v1.4,roberta-base,0.9457,0.7851,0.6250
2026-01-12,v1.4,roberta-base,0.7250,0.9202,1.3794
2026-01-12,v1.4,roberta-base,0.7312,0.9671,1.4095
2026-01-12,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-12,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-12,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-13,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-13,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-13,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-13,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-13,v1.4,roberta-base,-0.4530,-0.3103,1.6855
2026-01-13,v1.4,roberta-base,-0.4530,-0.3103,1.6855
